OID_,Name,StructType,Project_Id,ProjectLnk,Status,Appear_Dt,Appear_Src,Disapp_Dt,Disapp_Src,Model_ID,Model_Cred,ModelBatch,Model_File,Model_Dt,Model_Note,Model_LOD,Survey_Dt,Survey_Src,Centr_Lat,Centr_Lon,Centr_X_Ft,Centr_Y_Ft,Gnd_El_Ft,Z_Max_Ft,Z_MIn_Ft,Height_Ft,Tile_ID,Parcel_ID,Struct_ID,StructUse,GoogleLnk,NearMapLnk,Struct_Lnk,Parcel_Lnk,Editor,Edit_Dt,EditAction,QA_Issue,QA_Flag,RecInitUser,RecInitDt,RecModUser,RecModDt
1,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_VYNOLUN,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.367603639821716,-71.052892010320235,45893.217393938502937,56397.6328125,9.534815293336560,83.267680833334495,-0.970011583325686,73.732865539997931,BOS_I_3,,,,"https://www.google.com/maps/search//@42.3656036398217,-71.0528920103202,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3676036398217,-71.0528920103202,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
2,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_16IAITW,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.367173155125840,-71.066182291757897,42302.484041311108740,56222.2109375,3.068662692393710,92.486822500010007,-3.130112250000820,89.418159807616291,BOS_H_3,,,,"https://www.google.com/maps/search//@42.365173155125795,-71.0661822917579,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3671731551258,-71.0661822917579,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
3,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_AE6K24I,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.367250559332398,-71.055148060731582,45284.219517165540310,56265.7773438,40.743749829617300,96.784714166671606,7.199919583334120,56.040964337054305,BOS_I_3,,,,"https://www.google.com/maps/search//@42.365250559332395,-71.0551480607316,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3672505593324,-71.0551480607316,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
4,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_QSK2NRE,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.366964738992493,-71.054626442195612,45425.724922513436468,56162.3515625,32.509020053012001,87.663997499999795,5.739948750007900,55.154977446987793,BOS_I_3,,,,"https://www.google.com/maps/search//@42.3649647389925,-71.0546264421956,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3669647389925,-71.0546264421956,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
5,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_D5N82PV,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.366864595317786,-71.052358345340011,46038.846987220058509,56129.0664062,13.571885762947900,35.826830833335400,0.469946166675072,22.254945070387500,BOS_I_3,,,,"https://www.google.com/maps/search//@42.3648645953178,-71.05235834534,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3668645953178,-71.05235834534,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
6,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_4IFCR15,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.366246209992212,-71.058841587306219,44287.978182451901375,55894.5859375,8.912015324425710,115.911972500006001,-1.050063916656650,106.999957175580292,BOS_H_3,,,,"https://www.google.com/maps/search//@42.364246209992196,-71.0588415873062,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3662462099922,-71.0588415873062,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
7,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_8KP5VH4,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.366103877319404,-71.057515151113108,44646.707628002572164,55844.5742188,10.158227629131201,63.221789166665999,-0.720012083329493,53.063561537534795,BOS_H_3,,,,"https://www.google.com/maps/search//@42.364103877319394,-71.0575151511131,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3661038773194,-71.0575151511131,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
8,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_DBF7IGS,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.365930105018940,-71.052643079996187,45963.686318482003117,55788.1171875,18.570027799031401,74.376622499999897,1.599865166674140,55.806594700968496,BOS_I_3,,,,"https://www.google.com/maps/search//@42.363930105018895,-71.0526430799962,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3659301050189,-71.0526430799962,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
9,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_SHDTVEN,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.365646587169458,-71.051358748060366,46311.313236856258300,55686.6210938,10.514618666015300,70.931747499998906,-0.849933083329233,60.417128833983604,BOS_I_3,,,,"https://www.google.com/maps/search//@42.3636465871695,-71.0513587480604,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3656465871695,-71.0513587480604,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
10,,Building,,,Current,4/1/2002 0:00:00,MassGIS LIDAR 2002,,,MGS_MDN4J2V,MassGIS,massgis_bldgs_2002,,6/28/2022 0:00:00,Extruded by pbcGIS,1.000000000000000,4/1/2002 0:00:00,MassGIS LIDAR,42.365492792764549,-71.051964877416111,46147.803851451266382,55629.7148438,14.086457684395800,115.354230833342001,0.409906916669570,101.267773148946205,BOS_I_3,,,,"https://www.google.com/maps/search//@42.3634927927645,-71.0519648774161,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3654927927645,-71.0519648774161,21.00z,1d/3D",,,,,,,,PBCOTE,6/28/2022 7:31:50,PBCOTE,6/28/2022 8:47:43
